,category,brand_name,name,price,rating,url,num_review,score
250,Hair Color,Rahua,Elixir,$175.00,4.8,http://www.sephora.com/elixir-P407491,5.0,4.877717391304348
251,Hair Color,Rahua,Elixir Daily Hair Drops,$105.00,4.5,http://www.sephora.com/elixir-daily-hair-drops-P408244,4.0,4.823008849557522
252,Hair Color,Keranique,8 Day Intensive Scalp Infusion Treatment,$60.00,3.0,http://www.sephora.com/8-day-intensive-scalp-infusion-treatment-P406556,2.0,4.8076923076923075
253,Hair Color,ALTERNA Haircare,CAVIAR Anti-Aging Thick & Full Volume Mousse,$28.00,2.0,http://www.sephora.com/caviar-anti-aging-thick-full-volume-mousse-P405300,1.0,4.758064516129032
254,Hair Color,SHOW BEAUTY,Sublime Repair Conditioner,$45.00,4.0,http://www.sephora.com/sublime-repair-conditioner-P411893,1.0,4.75
255,Moisturizer & Treatments,HERMÈS,Voyage d’Hermès Moisturizing Face and Body Balm,$74.00,4.0,http://www.sephora.com/voyage-d-hermes-moisturizing-face-body-balm-P380628,1.0,4.841772151898734
256,Moisturizer & Treatments,Jack Black,Dry Erase® Ultra-Calming Face Cream,$38.00,4.0,http://www.sephora.com/dry-erase-ultra-calming-face-cream-P397665,1.0,4.709302325581396
257,Moisturizer & Treatments,L’Occitane,Cade Complete Care Moisturizer,$44.00,4.0,http://www.sephora.com/cade-complete-care-moisturizer-P397451,2.0,4.7
258,Moisturizer & Treatments,KORRES,Maple Anti-Ageing Cream for Men Face and Eyes,$34.50,4.0,http://www.sephora.com/maple-anti-ageing-cream-for-men-face-eyes-P399918,2.0,4.625
259,Moisturizer & Treatments,DTRT,Bright Idea Serum,$42.00,4.75,http://www.sephora.com/bright-idea-serum-P396343,4.0,4.6
260,Eye Creams & Treatments,Tria,Nourishing Eye Renewal Cream,$65.00,1.0,http://www.sephora.com/nourishing-eye-renewal-cream-P398819,1.0,4.925373134328358
261,Eye Creams & Treatments,KAPLAN MD,Intensive Eye Concentrate,$85.00,2.0,http://www.sephora.com/intensive-eye-concentrate-P392463,1.0,4.9147727272727275
262,Eye Creams & Treatments,Dior,Capture Totale 360 Light-Up Open-Up Replenishing Eye Serum,$110.00,3.5,http://www.sephora.com/capture-totale-360-light-up-open-up-replenishing-eye-serum-P405932,2.0,4.891304347826087
263,Eye Creams & Treatments,Cane + Austin,Glycolic Treatment Eye Cream,$105.00,4.0,http://www.sephora.com/glycolic-treatment-eye-cream-P409541,3.0,4.84375
264,Eye Creams & Treatments,Guerlain,Super Aqua-Eye Anti-Puffiness Smoothing Eye Patch,$132.00,3.5714,http://www.sephora.com/super-aqua-eye-anti-puffiness-smoothing-eye-patch-P384650,7.0,4.823943661971831
265,Lip Gloss,Marc Jacobs Beauty,Enamored With a Twist - 3-piece Enamored Hi-Shine Gloss Lip Lacquer Collection,$54.00,0.0,http://www.sephora.com/enamored-with-twist-3-piece-enamored-hi-shine-gloss-lip-lacquer-collection-P417401,2.0,4.910714285714286
266,Lip Gloss,Michael Kors,Sexy Amber Eau de Parfum Rollerball & Lip Luster Duo,$28.00,4.5,http://www.sephora.com/sexy-amber-eau-de-parfum-rollerball-lip-luster-duo-P408462,2.0,4.5588235294117645
267,Lip Gloss,The Estée Edit,The Flash Photo Kit,$25.00,2.75,http://www.sephora.com/the-flash-photo-kit-P413511,4.0,4.516129032258065
268,Lip Gloss,NUDESTIX,Lip Pen Gloss,$24.00,3.3333,http://www.sephora.com/lip-pen-gloss-P402660,3.0,4.5
269,Lip Gloss,Michael Kors,Glam Jasmine Eau de Parfum Rollerball & Lip Luster Duo,$28.00,5.0,http://www.sephora.com/glam-jasmine-eau-de-parfum-rollerball-lip-luster-duo-P408461,2.0,4.5
270,Moisturizers,SK-II,Ultimate Revival Cream,$385.00,3.6667,http://www.sephora.com/ultimate-revival-cream-P375854,6.0,4.942893401015229
271,Moisturizers,Shiseido,Future Solution LX Total Protective Emulsion Broad Spectrum SPF 18 Sunscreen,$240.00,4.5,http://www.sephora.com/future-solution-lx-total-protective-emulsion-broad-spectrum-spf-18-sunscreen-P384789,2.0,4.939024390243903
272,Moisturizers,boscia,Tsubaki™ Swirl Two-Part Gel & Cream Deep Hydration Moisturizer,$38.00,0.0,http://www.sephora.com/tsubaki-swirl-two-part-gel-cream-deep-hydration-moisturizer-P415943,1.0,4.935897435897436
273,Moisturizers,Eve Lom,Radiance Lift Cream,$72.00,1.0,http://www.sephora.com/radiance-lift-cream-P402725,1.0,4.9324324324324325
274,Moisturizers,Acqua Di Parma,Blu Mediterraneo Italian Resort Moisturizing Face Lotion,$80.00,2.0,http://www.sephora.com/blu-mediterraneo-italian-resort-moisturizing-face-lotion-P408979,1.0,4.909638554216867
