,index,word,dfidf
0,0,hourglass,0.4872234444124197
1,0,brushes,0.26852940027113587
2,0,dense,0.24777730253611657
3,0,bristles,0.457884511353139
4,0,vanish,0.5121983063363164
5,1,blending,0.2895971995472302
6,1,brushes,0.3241801021196763
7,1,lock,0.31606679150353717
8,1,bristles,0.675617113266062
9,1,dense,0.15826840632501987
10,2,lock,0.17841334195191114
11,2,fluffy,0.216478390470776
12,2,brushes,0.3240726509761862
13,2,bristles,0.4848852198069924
14,2,setting,0.622590245269579
15,3,clay,0.2082740533729665
16,3,airbrushed,0.23281941014163304
17,3,brushes,0.3845051007526604
18,3,tarte,0.31029607462832803
19,3,bristles,0.6445521015774067
20,4,foundations,0.21706595483273008
21,4,airbrushed,0.2999144460121919
22,4,brushes,0.5416293274369498
23,4,bristles,0.474857014847583
24,4,airbrush,0.28904340034200704
25,5,circles,0.34905421352399457
26,5,shiseido,0.31083843116620374
27,5,wrinkles,0.6088021080439103
28,5,jar,0.15442287373080318
29,5,wrinkle,0.1808292945010616
30,6,pad,0.14978357157044236
31,6,retinol,0.143326723874134
32,6,wrinkles,0.12258058738135631
33,6,philosophy,0.2885694862804034
34,6,pads,0.8492616192322876
35,7,scars,0.13856293869588715
36,7,retinol,0.7153785943261909
37,7,aging,0.12778182090286486
38,7,wrinkles,0.2243271891526551
39,7,philosophy,0.3810478640880953
40,8,aging,0.2286478694400972
41,8,wrinkles,0.15891506731365404
42,8,philosophy,0.5321618527448922
43,8,jar,0.6035532582277497
44,8,absorbs,0.20705960432812584
45,9,moisturizers,0.29110862163175105
46,9,rose,0.4132547263439798
47,9,absorbs,0.3309594638945387
48,9,jar,0.28241505965773855
49,9,roses,0.3223558566961354
50,10,chapped,0.15679834384210192
51,10,lipstick,0.08318894824746693
52,10,lips,0.8613191214564919
53,10,lip,0.4115077466363798
54,10,balm,0.1257169412386178
55,11,mint,0.17581898091599696
56,11,balms,0.16136695870055687
57,11,lips,0.6787775385294588
58,11,lip,0.4631158382523593
59,11,balm,0.4704814479604858
60,12,beachy,0.22637961460083048
61,12,beach,0.23915002015392187
62,12,wave,0.2250600584740967
63,12,wavy,0.42381145222509825
64,12,waves,0.5470840686186736
65,13,boscia,0.16903511734918958
66,13,cleansers,0.1154341877372458
67,13,warming,0.4318993084345559
68,13,cleanser,0.8120165970151293
69,13,sensation,0.15241622454645495
70,14,perfection,0.18656719058484386
71,14,redness,0.21483494673406262
72,14,pump,0.40577919089215425
73,14,tinted,0.295851060598653
74,14,radiant,0.30601136584991384
75,15,removes,0.20108839424349842
76,15,mascara,0.253020663904934
77,15,remover,0.8019064357931981
78,15,removing,0.13713490912533044
79,15,waterproof,0.35716899618586173
80,16,mascara,0.3421836958163184
81,16,waterproof,0.5483718541993644
82,16,cotton,0.1447605025875257
83,16,remover,0.6704191664396757
84,16,removes,0.17571093029214133
85,17,removes,0.3167552925593896
86,17,cleansing,0.40102032464643145
87,17,remover,0.3589589452653772
88,17,cleanser,0.47234771366346723
89,17,waterproof,0.2917862845996466
90,18,mascara,0.35962422520141507
91,18,waterproof,0.3578259542209014
92,18,remover,0.7315850664627754
93,18,removes,0.22540190610724223
94,18,eyeliner,0.1836434739656536
95,19,mascara,0.3740356491629906
96,19,waterproof,0.5028466251171503
97,19,remover,0.6367592935627432
98,19,removes,0.20175091526652633
99,19,eyeliner,0.1705381448630243
100,20,masks,0.34929186382350697
101,20,clearing,0.15416645149833794
102,20,mud,0.2422556428410373
103,20,blackheads,0.4585081587334471
104,20,jar,0.17909116256909047
105,21,heads,0.21783734600999974
106,21,pore,0.20622286991699268
107,21,peeled,0.1857474254502986
108,21,blackheads,0.48465048641619307
109,21,peel,0.5517524358231256
110,22,charcoal,0.4735241847624321
111,22,origins,0.19985424473371505
112,22,masks,0.34526242652042066
113,22,blackheads,0.5658090949059003
114,22,cleared,0.1407327382014628
115,23,masks,0.3285971166640029
116,23,tingle,0.3723544707355968
117,23,mud,0.2858406112005046
118,23,tingling,0.30256874011562496
119,23,sensation,0.25365314245384424
120,24,sleeping,0.20561821369066813
121,24,korres,0.2788354258156361
122,24,rose,0.6693093061092842
123,24,brighter,0.18853037796715302
124,24,roses,0.2508739675565781
125,25,colors,0.20158626687249115
126,25,lipsticks,0.39001365835775886
127,25,lipstick,0.5915108115627008
128,25,lips,0.4759870007275335
129,25,lip,0.20801766072757025
130,26,stain,0.3433270454595474
131,26,lipstick,0.3914479348240964
132,26,lips,0.4417357195043899
133,26,colors,0.28109070223014887
134,26,lip,0.4544051220127374
135,27,lipsticks,0.2310193865168068
136,27,lipstick,0.7636205275630209
137,27,nars,0.24488142911416366
138,27,lips,0.33976343926200603
139,27,lip,0.21509691070878742
140,28,lipstick,0.3125561312897357
141,28,lips,0.43269908629647735
142,28,nars,0.16725098454933124
143,28,pencil,0.5039028725862151
144,28,lip,0.5385941400046336
145,29,lipsticks,0.3501544246094286
146,29,lipstick,0.7033641189105587
147,29,lips,0.34379261847919446
148,29,lip,0.17293160369430405
149,29,bite,0.29579396699935284
150,30,firming,0.5266246696233834
151,30,perfume,0.29707036358469946
152,30,lotions,0.13304820155752922
153,30,philosophy,0.24126641743410554
154,30,grace,0.641506542549459
155,31,perfumes,0.1287215248331579
156,31,floral,0.25935888258718315
157,31,sweet,0.12925356337983226
158,31,flower,0.15602567339622528
159,31,perfume,0.8697098226893258
160,32,perfume,0.1744672642298316
161,32,lotions,0.12966906413457596
162,32,philosophy,0.2782161934717786
163,32,pure,0.3656565065071585
164,32,grace,0.7846943899099762
165,33,firming,0.6515744251266853
166,33,sweet,0.24646322409941632
167,33,perfume,0.2063861707112226
168,33,philosophy,0.4539531561504087
169,33,grace,0.2424907968833521
170,34,layering,0.35212693675167395
171,34,unscented,0.4849843114823181
172,34,faint,0.3504295952625432
173,34,expense,0.5294758364782007
174,34,scents,0.3590819152630425
175,35,drops,0.4691472885671971
176,35,maran,0.22049245902721815
177,35,josie,0.2800041928500464
178,35,argan,0.5541904852587284
179,35,cuticles,0.23307789054733238
180,36,bumble,0.3965624091021766
181,36,curly,0.2808599991921255
182,36,frizz,0.49737669423839104
183,36,wavy,0.19213920613609778
184,36,frizzy,0.3759095416801378
185,37,drops,0.4345377248248667
186,37,maran,0.20186090575918872
187,37,josie,0.27169784649585477
188,37,argan,0.5807111552650438
189,37,cuticles,0.17362055418328265
190,38,divine,0.592074271970304
191,38,legs,0.14751803788780005
192,38,caudalie,0.4175826680734888
193,38,absorbs,0.26953282649336
194,38,floral,0.17014265496310396
195,39,curly,0.19571394420666638
196,39,weigh,0.19778444549471438
197,39,mist,0.3483505891875959
198,39,frizz,0.5926659088921936
199,39,frizzy,0.3462716429415043
200,40,sweat,0.4136916359815433
201,40,lavender,0.20872320719378593
202,40,lemon,0.15781129342505495
203,40,vanilla,0.7236007536602821
204,40,odor,0.26731916469605194
205,41,lavender,0.32733073804519425
206,41,purse,0.26720635989164493
207,41,butter,0.5939183855002916
208,41,almond,0.34839288465242635
209,41,absorbs,0.24492676979341563
210,42,grace,0.641326028054656
211,42,bath,0.3587814788788159
212,42,feminine,0.192921013778536
213,42,philosophy,0.3110088325207304
214,42,shampoo,0.4427628999978452
215,43,firming,0.5266246696233834
216,43,perfume,0.29707036358469946
217,43,lotions,0.13304820155752922
218,43,philosophy,0.24126641743410554
219,43,grace,0.641506542549459
220,44,growth,0.2831652696802585
221,44,hairs,0.2690254277131157
222,44,removal,0.22860690446775253
223,44,legs,0.34975036645180585
224,44,laser,0.535593516131453
225,45,bareminerals,0.4600254782937945
226,45,foundations,0.3272967778346602
227,45,bare,0.3235861830477102
228,45,cakey,0.25927970053939675
229,45,minerals,0.39038706222536623
230,46,foundations,0.32342228689470104
231,46,shade,0.3243490912257466
232,46,setting,0.20281671636041593
233,46,cakey,0.5417875758844113
234,46,kvd,0.19812784091131208
235,47,foundations,0.2864457562828212
236,47,bareminerals,0.47142486642872483
237,47,shade,0.2301743378227628
238,47,bare,0.3546666886598785
239,47,minerals,0.42566050518289256
240,48,foundations,0.4371964960709405
241,48,shade,0.29599105419801414
242,48,mufe,0.19423873461228014
243,48,cakey,0.32306430854778695
244,48,mat,0.18830838051061327
245,49,foundations,0.34485141918297596
246,49,match,0.2175810954091612
247,49,shade,0.4326067881330504
248,49,cakey,0.37003002527610646
249,49,buildable,0.25867727588737083
250,50,vitamin,0.35921089299843245
251,50,henriksen,0.2400641559310636
252,50,scars,0.24596066898310232
253,50,brighter,0.26751160480063835
254,50,ole,0.3421881125497722
255,51,pore,0.49792654519517315
256,51,zone,0.20621888537250116
257,51,minimizing,0.21043372017944742
258,51,dr,0.24989133525995486
259,51,primers,0.44410965911349537
260,52,corrector,0.24924402912722785
261,52,marks,0.22713989081425404
262,52,scars,0.7293948476077903
263,52,scarring,0.15083469127172602
264,52,clinique,0.215951243509286
265,53,overnight,0.21242445361716294
266,53,pimple,0.4641053423385287
267,53,cystic,0.2548334153793726
268,53,pimples,0.5189465668901314
269,53,blemishes,0.21881396192436817
270,54,masks,0.3285971166640029
271,54,tingle,0.3723544707355968
272,54,mud,0.2858406112005046
273,54,tingling,0.30256874011562496
274,54,sensation,0.25365314245384424
275,55,mascara,0.6751942936520986
276,55,eyelashes,0.1404044871267768
277,55,lash,0.10308455441526874
278,55,volume,0.0962288854216763
279,55,lashes,0.669366072353627
280,56,mascara,0.7074606230986218
281,56,eyelashes,0.13632110194456223
282,56,volume,0.09862082971550924
283,56,clumpy,0.11558787615451535
284,56,lashes,0.6361131577322847
285,57,mascara,0.7091671047630348
286,57,eyelashes,0.13473765311398406
287,57,volume,0.14537166597297502
288,57,clump,0.09878174849119783
289,57,lashes,0.6259823171284042
290,58,mascara,0.6914074502465899
291,58,eyelashes,0.17198607302777547
292,58,volume,0.12949298585033547
293,58,lash,0.10079711607343078
294,58,lashes,0.6418428297819548
295,59,mascara,0.7114755740874176
296,59,eyelashes,0.1394153599565638
297,59,volume,0.130174430571258
298,59,clumpy,0.1379400547270466
299,59,lashes,0.622755752230381
300,60,lips,0.7092866674868508
301,60,rose,0.1411930552098916
302,60,lip,0.5170851255366966
303,60,sugar,0.15009526066907947
304,60,balm,0.2464898134283893
305,61,chapped,0.18450937757112013
306,61,cuticles,0.14322666230673806
307,61,lips,0.8211328557502088
308,61,lip,0.3158851952243878
309,61,balm,0.3377907352414321
310,62,korres,0.1484852307458512
311,62,lips,0.7110511799319837
312,62,butter,0.2332268880461288
313,62,lip,0.5031539187146347
314,62,balm,0.25545915362767935
315,63,lipstick,0.1546654021726525
316,63,lips,0.6534086565306059
317,63,balm,0.35410656649244976
318,63,lip,0.5331226189403725
319,63,coral,0.20590965276785522
320,64,chapped,0.15679834384210192
321,64,lipstick,0.08318894824746693
322,64,lips,0.8613191214564919
323,64,lip,0.4115077466363798
324,64,balm,0.1257169412386178
325,65,grow,0.20398498416955352
326,65,growth,0.17210669166834414
327,65,nails,0.820089901936304
328,65,growing,0.20513193969754934
329,65,vitamins,0.2953968770776395
330,66,curly,0.3122290949757446
331,66,frizzy,0.36709057157240865
332,66,conditioner,0.24660214008884163
333,66,blow,0.23278860697266113
334,66,frizz,0.40312925274514577
335,67,masque,0.24868067566246696
336,67,testing,0.31461474871644984
337,67,pre,0.4052008582800692
338,67,conditioner,0.24777104679331757
339,67,shampoo,0.35414039119108204
340,68,curly,0.19571394420666638
341,68,weigh,0.19778444549471438
342,68,mist,0.3483505891875959
343,68,frizz,0.5926659088921936
344,68,frizzy,0.3462716429415043
345,69,conditioning,0.3214788300409444
346,69,curly,0.20789076114256727
347,69,damaged,0.19626821572367797
348,69,frizzy,0.24303666236230456
349,69,conditioner,0.6221983496793818
350,70,refill,0.3467878419279368
351,70,floral,0.20453562927880245
352,70,roller,0.16857742315941374
353,70,duo,0.14721232797886621
354,70,perfume,0.7767912276306684
355,71,prominent,0.0
356,71,promise,0.0
357,71,promised,0.0
358,71,prolong,0.0
359,71,promises,0.0
360,72,sexy,0.34842749540006307
361,72,men,0.29275974865293
362,72,shirt,0.23630163489777384
363,72,roller,0.3703108511139302
364,72,perfume,0.2993618706369941
365,73,promises,0.0
366,73,classic,0.4819131714392385
367,73,eh,0.6292914357897135
368,73,promised,0.0
369,73,elegant,0.6097146742822381
370,74,delighted,0.3882197373841672
371,74,delightful,0.3793151683093116
372,74,purse,0.25289184823925376
373,74,receive,0.2461601261705972
374,74,perfume,0.7621393205796804
375,75,shadows,0.15281919657918053
376,75,colors,0.3047767933327786
377,75,palette,0.8451775843927508
378,75,naked,0.27766821753282045
379,75,shades,0.14864758230279554
380,76,pigmented,0.16882658125198238
381,76,colors,0.29570782896610964
382,76,palette,0.8282707114670803
383,76,naked,0.2428159725483744
384,76,shades,0.1929014797224765
385,77,shadows,0.15912175883125637
386,77,colors,0.32450355753846216
387,77,palette,0.8190720583278384
388,77,naked,0.21028902622202023
389,77,shades,0.1970306587207585
390,78,pigmented,0.1413563724427356
391,78,shadows,0.17054252751655463
392,78,colors,0.28810463757050225
393,78,palette,0.8748126817845819
394,78,shades,0.15680786368332927
395,79,pigmented,0.2296729503626065
396,79,shadows,0.20050319961458607
397,79,colors,0.2660992721212094
398,79,palette,0.8791469881270799
399,79,fallout,0.10901531050177815
400,80,sheer,0.2570238139445324
401,80,truth,0.4315415273305991
402,80,transformation,0.40898023852401105
403,80,vitamin,0.23774155796165272
404,80,ole,0.30152014832533064
405,81,henriksen,0.28061488118225597
406,81,ole,0.3915978461808334
407,81,vitamin,0.2901040442409345
408,81,brighter,0.23452398663452093
409,81,steps,0.38680539232124594
410,82,solutions,0.2604245043203208
411,82,clearing,0.22548792093389078
412,82,cleared,0.32217103172036504
413,82,toner,0.26045159863600537
414,82,clinique,0.521818541264523
415,83,laser,0.6087521998683173
416,83,mouth,0.23799287384356335
417,83,redness,0.20137976177146777
418,83,setting,0.20848265595306506
419,83,pain,0.28970572621829077
420,84,blow,0.6151397013184068
421,84,straw,0.2286207459692778
422,84,frizzy,0.2286207459692778
423,84,wavy,0.2286298638462323
424,84,frizz,0.2302879248134909
425,85,bumble,0.3965624091021766
426,85,curly,0.2808599991921255
427,85,frizz,0.49737669423839104
428,85,wavy,0.19213920613609778
429,85,frizzy,0.3759095416801378
430,86,curly,0.3122290949757446
431,86,frizzy,0.36709057157240865
432,86,conditioner,0.24660214008884163
433,86,blow,0.23278860697266113
434,86,frizz,0.40312925274514577
435,87,curly,0.4887092107996466
436,87,frizz,0.4471164800816718
437,87,crunchy,0.1925624097978768
438,87,frizzy,0.2379905271339941
439,87,curls,0.5714834638268502
440,88,styling,0.23183832777553603
441,88,blow,0.3248461134220168
442,88,frizzy,0.2939542516877272
443,88,bumble,0.29056358311506314
444,88,frizz,0.3361655752745273
445,89,curly,0.19571394420666638
446,89,weigh,0.19778444549471438
447,89,mist,0.3483505891875959
448,89,frizz,0.5926659088921936
449,89,frizzy,0.3462716429415043
450,90,moisturizers,0.14908314786516397
451,90,dog,0.14155855475565138
452,90,jar,0.7353703695042951
453,90,philosophy,0.40389103969335793
454,90,absorbs,0.20042386834036602
455,91,drops,0.4691472885671971
456,91,maran,0.22049245902721815
457,91,josie,0.2800041928500464
458,91,argan,0.5541904852587284
459,91,cuticles,0.23307789054733238
460,92,fab,0.1923948648820733
461,92,eczema,0.5018892954046146
462,92,moisturizers,0.22836216616318045
463,92,repair,0.2453351237503174
464,92,redness,0.19816442287350017
465,93,moisturizers,0.5118606128783401
466,93,zone,0.23217478462171942
467,93,pump,0.16425754791202968
468,93,absorbs,0.42400134928059685
469,93,clinique,0.37872369105225895
470,94,surge,0.47550937395536585
471,94,absorbs,0.34301272205065503
472,94,moisturizers,0.3508262168511646
473,94,jar,0.28827567606747523
474,94,clinique,0.42235926219518655
475,95,vitamin,0.35921089299843245
476,95,henriksen,0.2400641559310636
477,95,scars,0.24596066898310232
478,95,brighter,0.26751160480063835
479,95,ole,0.3421881125497722
480,96,wild,0.19114593928600523
481,96,korres,0.634489714076896
482,96,brightening,0.37053739580661094
483,96,rose,0.3994660021972191
484,96,moisturizers,0.1805657828908835
485,97,sleeping,0.20561821369066813
486,97,korres,0.2788354258156361
487,97,rose,0.6693093061092842
488,97,brighter,0.18853037796715302
489,97,roses,0.2508739675565781
490,98,sunday,0.4113919018829468
491,98,acid,0.28943133965247214
492,98,riley,0.4591418826392337
493,98,scars,0.24706384979275503
494,98,brighter,0.16499825612782223
495,99,lightened,0.23714331130206812
496,99,murad,0.38055071217798514
497,99,lightening,0.29272088077619235
498,99,scars,0.4067932867460815
499,99,freckles,0.2705364501372608
500,100,proof,0.2052725855106592
501,100,volume,0.5998328191011904
502,100,blow,0.26161176299045724
503,100,living,0.19988420828171397
504,100,limp,0.20649363031811796
505,101,beachy,0.22637961460083048
506,101,beach,0.23915002015392187
507,101,wave,0.2250600584740967
508,101,wavy,0.42381145222509825
509,101,waves,0.5470840686186736
510,102,roots,0.1197349160346609
511,102,volume,0.1476988579479646
512,102,scalp,0.11874407521096206
513,102,shampoos,0.3627592689225867
514,102,shampoo,0.8629758884609668
515,103,style,0.5400274227301453
516,103,blow,0.2522006071825579
517,103,curls,0.2388707217250967
518,103,frizz,0.2728605179029949
519,103,styling,0.2584994380133636
520,104,bumble,0.3965624091021766
521,104,curly,0.2808599991921255
522,104,frizz,0.49737669423839104
523,104,wavy,0.19213920613609778
524,104,frizzy,0.3759095416801378
525,105,frizzy,0.18417506393478605
526,105,shampoo,0.68319474529186
527,105,curly,0.12474478541712838
528,105,frizz,0.48952948367740085
529,105,conditioner,0.4027921788072545
530,106,proof,0.1354345538418941
531,106,volume,0.2410232792629662
532,106,conditioner,0.33309689705308576
533,106,living,0.1282497066902817
534,106,shampoo,0.8537770302899989
535,107,shampoos,0.09666934571209974
536,107,volume,0.2536130534853087
537,107,conditioner,0.4054077266993664
538,107,bumble,0.22714654909277987
539,107,shampoo,0.8144300661015037
540,108,shampoos,0.10039899807387694
541,108,scalp,0.08587298157994822
542,108,alterna,0.11717820722269034
543,108,conditioner,0.4650547194097246
544,108,shampoo,0.8368395767011768
545,109,proof,0.10669168412614626
546,109,scalp,0.11593350462893452
547,109,styling,0.1233985432015456
548,109,conditioner,0.40500509662790374
549,109,shampoo,0.8523890304207251
550,110,drops,0.4691472885671971
551,110,maran,0.22049245902721815
552,110,josie,0.2800041928500464
553,110,argan,0.5541904852587284
554,110,cuticles,0.23307789054733238
555,111,argan,0.17252372281557513
556,111,cleansing,0.4440376555782522
557,111,josie,0.1905161487141233
558,111,cleanser,0.7194709326632486
559,111,waterproof,0.14534156182868102
560,112,drops,0.4801034588492391
561,112,maracuja,0.2588432116568661
562,112,absorbs,0.14299119376870684
563,112,ipsy,0.47933928084604827
564,112,tarte,0.2229684851141328
565,113,drops,0.7638259051469508
566,113,argan,0.11809690660164911
567,113,absorbs,0.1979168110467553
568,113,josie,0.192624982971222
569,113,maran,0.16398347557581783
570,114,drops,0.4345377248248667
571,114,maran,0.20186090575918872
572,114,josie,0.27169784649585477
573,114,argan,0.5807111552650438
574,114,cuticles,0.17362055418328265
575,115,sheer,0.2703861166177621
576,115,spf,0.26698698177641345
577,115,mercier,0.19372808816637646
578,115,tinted,0.7103948967011785
579,115,laura,0.19741173680555796
580,116,sheer,0.1575893732984194
581,116,spf,0.2174950044668045
582,116,mercier,0.2270225948136913
583,116,laura,0.25077433372863195
584,116,tinted,0.7634781426765094
585,117,spf,0.18939112384241738
586,117,bb,0.8881056895960329
587,117,cakey,0.12022522664530774
588,117,smashbox,0.14382920443693653
589,117,shade,0.12777894077105562
590,118,shade,0.17766434986413973
591,118,spf,0.17852893248430476
592,118,bb,0.8356415397624017
593,118,tarte,0.22406867753424534
594,118,tinted,0.2010696574661215
595,119,spf,0.21392042414929266
596,119,shade,0.1991499666202979
597,119,nars,0.31351553165148505
598,119,tinted,0.7198743644601211
599,119,dewy,0.187328792703105
600,120,refill,0.3467878419279368
601,120,floral,0.20453562927880245
602,120,roller,0.16857742315941374
603,120,duo,0.14721232797886621
604,120,perfume,0.7767912276306684
605,121,flowery,0.253104616933455
606,121,di,0.24157516732571666
607,121,citrusy,0.24643357098920296
608,121,roller,0.26144872518400847
609,121,perfume,0.6374436275834218
610,122,sexy,0.33161108650332216
611,122,scents,0.27468371532854496
612,122,vanilla,0.4545638668390548
613,122,feminine,0.20698828538441713
614,122,perfume,0.5324613914615247
615,123,perfumes,0.24796001609555107
616,123,floral,0.36240407556788873
617,123,roller,0.2867442684701694
618,123,feminine,0.22631566956395321
619,123,perfume,0.6117104448883812
620,124,beachy,0.26296446918441846
621,124,sunscreen,0.190937149273793
