,category,brand_name,name,price,rating,url,num_review
58,Face Brushes,tarte,Rainforest of the Sea™ The Airbrusher™ Double-Ended Concealer Brush,$24.00,4.6923,http://www.sephora.com/rainforest-the-sea-airbrusher-double-ended-concealer-brush-P405597,54
59,Face Brushes,Benefit Cosmetics,Hoola Bronzing & Contouring Brush,$24.00,4.6119,http://www.sephora.com/hoola-bronzing-contouring-brush-P405555,69
60,Face Brushes,SEPHORA COLLECTION,Classic Multitasker Brush #45,$24.00,4.7504,http://www.sephora.com/classic-mineral-brush-45-P379529,621
61,Face Brushes,SEPHORA COLLECTION,hakuho-do + SEPHORA PRO Fan Cheek Brush (Ougi),$25.00,4.2857,http://www.sephora.com/hakuho-do-sephora-pro-fan-cheek-brush-ougi-P398552,null
62,Face Brushes,bareMinerals,Supreme Finisher Brush,$28.00,4.8824,http://www.sephora.com/supreme-finisher-brush-P396526,19
63,Face Brushes,Urban Decay,Optical Blurring Brush,$32.00,4.1923,http://www.sephora.com/optical-blurring-brush-P410551,27
64,Face Brushes,SEPHORA COLLECTION,PRO Contour Brush #79,$34.00,4.6558,http://www.sephora.com/pro-contour-brush-79-P395103,157
65,Face Brushes,KEVYN AUCOIN,The Neo Powder Brush,$60.00,0.0,http://www.sephora.com/the-neo-powder-brush-P416355,1
66,Face Brushes,SEPHORA COLLECTION,PRO Fan Brush #65,$28.00,3.1497,http://www.sephora.com/pro-fan-brush-65-P313023,190
67,Face Brushes,bareMinerals,Perfecting Foundation Brush,$28.00,3.7214,http://www.sephora.com/perfecting-foundation-brush-P385437,385
68,Face Brushes,Dior,Airbrush Finish Fluid Foundation Brush,$53.00,3.0,http://www.sephora.com/airflash-brush-P413264,2
69,Face Brushes,SEPHORA COLLECTION,Classic Double Ended - Powder & Blush #201,$30.00,4.5,http://www.sephora.com/face-powder-blush-brush-n-201-P414226,3
70,Face Brushes,MAKE UP FOR EVER,158 Double Ended Sculpting Brush,$53.00,4.625,http://www.sephora.com/158-double-ended-sculpting-brush-P382379,81
71,Face Brushes,Hourglass,Ambient® Lighting Edit Brush,$46.00,4.5,http://www.sephora.com/ambient-lighting-edit-brush-P413341,6
72,Face Brushes,Kat Von D,Lock-It Precision Powder Brush,$32.00,4.8929,http://www.sephora.com/lock-it-precision-powder-brush-P409987,29
73,Face Brushes,Guerlain,The Foundation Brush,$52.00,4.7778,http://www.sephora.com/lingerie-de-peau-foundation-brush-P411042,10
74,Face Brushes,SEPHORA COLLECTION,Classic Double Ended - Foundation & Concealer #203,$26.00,5.0,http://www.sephora.com/foundation-concealer-brush-203-P414675,2
75,Face Brushes,Laura Mercier,Fan Powder Brush,$30.00,4.2353,http://www.sephora.com/fan-powder-brush-P277509,51
76,Face Brushes,Bobbi Brown,Full Coverage Face Brush,$48.00,4.7018,http://www.sephora.com/full-coverage-face-brush-P390431,57
77,Face Brushes,SEPHORA COLLECTION,PRO Precision Powder Brush #59,$38.00,3.9946,http://www.sephora.com/pro-precision-powder-brush-59-P313006,185
78,Face Brushes,COVER FX,Liquid Foundation Brush,$38.00,4.6571,http://www.sephora.com/liquid-foundation-brush-P376529,71
79,Face Brushes,bareMinerals,Flawless Application Face Brush,$22.00,3.6154,http://www.sephora.com/flawless-application-face-brush-P61038,325
80,Face Brushes,Laura Mercier,Secret Camouflage Brush,$26.00,4.2969,http://www.sephora.com/secret-camouflage-brush-P109959,64
