,index,word,dfidf
0,0,influenster,0.5330573920783132
1,0,hourglass,0.39493352915689695
2,0,brushes,0.22081025764367385
3,0,vanish,0.45478091688690375
4,0,bristles,0.37322012563727314
5,1,bristles,0.6050331937716831
6,1,brushes,0.2928178615826859
7,1,blending,0.2641380755782531
8,1,lock,0.28954012295331977
9,1,influenster,0.423146839777336
10,2,fluffy,0.20198401444692685
11,2,bristles,0.4423251456602745
12,2,brushes,0.29817945351341146
13,2,setting,0.5867894692216504
14,2,influenster,0.3671024479667986
15,3,bristles,0.6155537602143215
16,3,airbrushed,0.22871541151770003
17,3,brushes,0.3703758958975072
18,3,shedding,0.25524410447364254
19,3,tarte,0.3062076137721271
20,4,bristles,0.46809769051196465
21,4,airbrushed,0.30411602866434545
22,4,brushes,0.5385282149007052
23,4,airbrush,0.29309268757289647
24,4,foundations,0.2213107914213546
25,5,wrinkles,0.6075062802909209
26,5,wrinkle,0.18604613234530265
27,5,shiseido,0.3112252906625411
28,5,circles,0.359124259065167
29,5,jar,0.1557070698630786
30,6,wrinkles,0.1246516820667221
31,6,pad,0.15595984487206094
32,6,philosophy,0.2892392171800495
33,6,retinol,0.14731260529797338
34,6,pads,0.8556782557270246
35,7,wrinkles,0.22626670922882444
36,7,philosophy,0.3788336980942455
37,7,retinol,0.7293080009374151
38,7,scars,0.1408168822839593
39,7,aging,0.13060469227056035
40,8,absorbs,0.20838730392668958
41,8,wrinkles,0.1592856870977894
42,8,philosophy,0.525757821828402
43,8,jar,0.6112929024339684
44,8,aging,0.2322361363509406
45,9,moisturizers,0.29589903523105526
46,9,roses,0.3396187762450548
47,9,rose,0.42526276383502587
48,9,absorbs,0.3395610731087597
49,9,jar,0.291600875141969
50,10,balm,0.12479167950499556
51,10,lip,0.4211088666294328
52,10,chapped,0.15760372980833193
53,10,lipstick,0.08335893535293686
54,10,lips,0.8574572982473375
55,11,lip,0.4735568916947801
56,11,mint,0.17218904496522658
57,11,balm,0.4666599001103249
58,11,lips,0.6752149227991878
59,11,balms,0.16272277683675107
60,12,waves,0.5462154272857602
61,12,wavy,0.4263361044177166
62,12,volume,0.22477000238529807
63,12,beach,0.23653893108412713
64,12,beachy,0.2260201768079008
65,13,sensation,0.1558233533140032
66,13,cleansers,0.11459334012070106
67,13,boscia,0.16749557542902713
68,13,warming,0.4402433489993864
69,13,cleanser,0.80652873053447
70,14,tinted,0.3140274184888759
71,14,radiant,0.31620995350617487
72,14,shade,0.19588412509999406
73,14,luminous,0.1774503336167513
74,14,pump,0.4267690386188432
75,15,removes,0.1757795958944748
76,15,influenster,0.4908657071909312
77,15,remover,0.7010759609366174
78,15,waterproof,0.3063398680889464
79,15,mascara,0.22314020104910168
80,16,removes,0.1766552928046186
81,16,mascara,0.3470783802607055
82,16,remover,0.6741153539780863
83,16,waterproof,0.5409427993005224
84,16,cotton,0.1419444594967636
85,17,cleansing,0.39463007503844816
86,17,removes,0.32089715271242564
87,17,waterproof,0.2900381790511481
88,17,remover,0.36370283420645216
89,17,cleanser,0.4658448229075187
90,18,removes,0.2258950073988453
91,18,mascara,0.3636121284695388
92,18,eyeliner,0.18505250840421938
93,18,remover,0.7332866887319514
94,18,waterproof,0.35185943297068245
95,19,removes,0.20269578989050333
96,19,mascara,0.37912514087971805
97,19,eyeliner,0.17227457115545855
98,19,remover,0.6398297481437165
99,19,waterproof,0.4956933201768117
100,20,clearing,0.1524254765624903
101,20,masks,0.3537741255111022
102,20,mud,0.2473944017534537
103,20,blackheads,0.4630243855873978
104,20,jar,0.18217993743839533
105,21,peeled,0.18799291795109527
106,21,pore,0.20344947103489733
107,21,peel,0.536777141685615
108,21,heads,0.22129591586251987
109,21,blackheads,0.4914719876301161
110,22,origins,0.2033418392149085
111,22,cleared,0.13849827017288208
112,22,charcoal,0.47196385683029496
113,22,blackheads,0.5668230308652007
114,22,masks,0.3469027021069545
115,23,masks,0.3293850574141139
116,23,mud,0.2888966104771492
117,23,tingling,0.3108194263803291
118,23,tingle,0.37123027642635664
119,23,sensation,0.2565176966106451
120,24,korres,0.29144017099180863
121,24,roses,0.2671499679242327
122,24,rose,0.6961611640444572
123,24,wild,0.17721813097043673
124,24,sleeping,0.21775118657142895
125,25,lip,0.20867007669839696
126,25,colors,0.20351155814852248
127,25,lipstick,0.5930133908644811
128,25,lips,0.46668019188366716
129,25,lipsticks,0.39561059572274293
130,26,lip,0.46607778587610965
131,26,lipstick,0.39142661993317673
