,category,brand_name,name,price,rating,num_review,score,word,dfidf
45,Fine Lines & Wrinkles,Perricone MD,Face Finishing Moisturizer,$75.00,4.2627,1021.0,293.75,moisturizers,0.29561486276802335
46,Fine Lines & Wrinkles,Perricone MD,Face Finishing Moisturizer,$75.00,4.2627,1021.0,293.75,roses,0.3392926166681502
47,Fine Lines & Wrinkles,Perricone MD,Face Finishing Moisturizer,$75.00,4.2627,1021.0,293.75,rose,0.4268409956928876
48,Fine Lines & Wrinkles,Perricone MD,Face Finishing Moisturizer,$75.00,4.2627,1021.0,293.75,absorbs,0.3392349689481978
49,Fine Lines & Wrinkles,Perricone MD,Face Finishing Moisturizer,$75.00,4.2627,1021.0,293.75,jar,0.2913208305015846
50,Men's,Bite Beauty,Agave Lip Mask,$26.00,4.4234,2845.0,725.25,balm,0.12479460386120608
51,Men's,Bite Beauty,Agave Lip Mask,$26.00,4.4234,2845.0,725.25,lip,0.42111873485409584
52,Men's,Bite Beauty,Agave Lip Mask,$26.00,4.4234,2845.0,725.25,chapped,0.1576074230789722
53,Men's,Bite Beauty,Agave Lip Mask,$26.00,4.4234,2845.0,725.25,lipstick,0.08382294520733358
54,Men's,Bite Beauty,Agave Lip Mask,$26.00,4.4234,2845.0,725.25,lips,0.8574773918191633
55,Men's,Jack Black,Intense Therapy Lip Balm SPF 25,$7.50,4.6912,2647.0,666.25,lip,0.473666650557343
56,Men's,Jack Black,Intense Therapy Lip Balm SPF 25,$7.50,4.6912,2647.0,666.25,mint,0.172228954158932
57,Men's,Jack Black,Intense Therapy Lip Balm SPF 25,$7.50,4.6912,2647.0,666.25,balm,0.46676806041954666
58,Men's,Jack Black,Intense Therapy Lip Balm SPF 25,$7.50,4.6912,2647.0,666.25,lips,0.6753714210430349
59,Men's,Jack Black,Intense Therapy Lip Balm SPF 25,$7.50,4.6912,2647.0,666.25,balms,0.16123561665942573
60,Men's,Bumble and bumble,Surf Spray,$16.0,3.6327,2090.0,531.25,waves,0.5459558654417929
61,Men's,Bumble and bumble,Surf Spray,$16.0,3.6327,2090.0,531.25,wavy,0.42613350928787486
62,Men's,Bumble and bumble,Surf Spray,$16.0,3.6327,2090.0,531.25,volume,0.2259438075096664
63,Men's,Bumble and bumble,Surf Spray,$16.0,3.6327,2090.0,531.25,beach,0.2364265276658873
64,Men's,Bumble and bumble,Surf Spray,$16.0,3.6327,2090.0,531.25,beachy,0.22591277190694878
65,Men's,boscia,Detoxifying Black Cleanser,$10.0,4.2863,1920.0,486.0,sensation,0.15582008580353304
66,Men's,boscia,Detoxifying Black Cleanser,$10.0,4.2863,1920.0,486.0,cleansers,0.11459093717575929
67,Men's,boscia,Detoxifying Black Cleanser,$10.0,4.2863,1920.0,486.0,boscia,0.16749206315994303
68,Men's,boscia,Detoxifying Black Cleanser,$10.0,4.2863,1920.0,486.0,warming,0.4402341173937144
69,Men's,boscia,Detoxifying Black Cleanser,$10.0,4.2863,1920.0,486.0,cleanser,0.8065118181717499
70,Men's,Perfekt,Skin Perfection Gel,$19.5,4.0603,1742.0,446.0,tinted,0.3137235939319126
71,Men's,Perfekt,Skin Perfection Gel,$19.5,4.0603,1742.0,446.0,radiant,0.3173003739886525
72,Men's,Perfekt,Skin Perfection Gel,$19.5,4.0603,1742.0,446.0,shade,0.196638098808665
73,Men's,Perfekt,Skin Perfection Gel,$19.5,4.0603,1742.0,446.0,luminous,0.1772786487070274
74,Men's,Perfekt,Skin Perfection Gel,$19.5,4.0603,1742.0,446.0,pump,0.4263561354567309
75,Makeup Removers,Lancôme,BI-FACIL - Double-Action Eye Makeup Remover,$15.0,4.6813,2984.0,754.5,removes,0.17525232166787486
76,Makeup Removers,Lancôme,BI-FACIL - Double-Action Eye Makeup Remover,$15.0,4.6813,2984.0,754.5,influenster,0.48939329035661944
77,Makeup Removers,Lancôme,BI-FACIL - Double-Action Eye Makeup Remover,$15.0,4.6813,2984.0,754.5,remover,0.7030471043653119
78,Makeup Removers,Lancôme,BI-FACIL - Double-Action Eye Makeup Remover,$15.0,4.6813,2984.0,754.5,waterproof,0.30542096099849947
79,Makeup Removers,Lancôme,BI-FACIL - Double-Action Eye Makeup Remover,$15.0,4.6813,2984.0,754.5,mascara,0.22247086240184394
80,Makeup Removers,SEPHORA COLLECTION,Waterproof Eye Makeup Remover,$7.5,4.4093,2896.0,728.5,removes,0.17617733763337506
81,Makeup Removers,SEPHORA COLLECTION,Waterproof Eye Makeup Remover,$7.5,4.4093,2896.0,728.5,mascara,0.34613933165345023
