,category,brand_name,name,price,rating,num_review,score,similarity_score,word,dfidf
91,Makeup Removers,CLINIQUE,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",$9.5,4.5712,2097.0,1051.75,0.46496499999999996,eyeliner,0.18445394122488476
92,Makeup Removers,CLINIQUE,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",$9.5,4.5712,2097.0,1051.75,0.46496499999999996,remover,0.7351751077078844
93,Makeup Removers,CLINIQUE,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",$9.5,4.5712,2097.0,1051.75,0.46496499999999996,mascara,0.3624359958789205
94,Makeup Removers,CLINIQUE,"Take The Day Off Makeup Remover For Lids, Lashes & Lips",$9.5,4.5712,2097.0,1051.75,0.46496499999999996,waterproof,0.35072131541620166
95,Makeup Removers,MAKE UP FOR EVER,Sens’Eyes - Waterproof Sensitive Eye Cleanser,$11.0,4.414,1993.0,1000.25,0.549791,mascara,0.3781869504513556
96,Makeup Removers,MAKE UP FOR EVER,Sens’Eyes - Waterproof Sensitive Eye Cleanser,$11.0,4.414,1993.0,1000.25,0.549791,eyeliner,0.17184825715968063
97,Makeup Removers,MAKE UP FOR EVER,Sens’Eyes - Waterproof Sensitive Eye Cleanser,$11.0,4.414,1993.0,1000.25,0.549791,remover,0.6419665689875067
98,Makeup Removers,MAKE UP FOR EVER,Sens’Eyes - Waterproof Sensitive Eye Cleanser,$11.0,4.414,1993.0,1000.25,0.549791,removes,0.202194194956695
99,Makeup Removers,MAKE UP FOR EVER,Sens’Eyes - Waterproof Sensitive Eye Cleanser,$11.0,4.414,1993.0,1000.25,0.549791,waterproof,0.494466667870626
100,Face Masks,GLAMGLOW,SUPERMUD® Clearing Treatment,$69.00,4.2119,3495.0,1765.75,0.48429399999999995,masks,0.3536429036465047
101,Face Masks,GLAMGLOW,SUPERMUD® Clearing Treatment,$69.00,4.2119,3495.0,1765.75,0.48429399999999995,clearing,0.1523689389193888
102,Face Masks,GLAMGLOW,SUPERMUD® Clearing Treatment,$69.00,4.2119,3495.0,1765.75,0.48429399999999995,mud,0.24730263824575746
103,Face Masks,GLAMGLOW,SUPERMUD® Clearing Treatment,$69.00,4.2119,3495.0,1765.75,0.48429399999999995,blackheads,0.46285264062684395
104,Face Masks,GLAMGLOW,SUPERMUD® Clearing Treatment,$69.00,4.2119,3495.0,1765.75,0.48429399999999995,jar,0.18211236327352845
105,Face Masks,boscia,Luminizing Black Mask,$34.00,3.9049,3450.0,1734.25,0.42817200000000005,heads,0.21826022767766817
106,Face Masks,boscia,Luminizing Black Mask,$34.00,3.9049,3450.0,1734.25,0.42817200000000005,pore,0.20769924891907135
107,Face Masks,boscia,Luminizing Black Mask,$34.00,3.9049,3450.0,1734.25,0.42817200000000005,peeled,0.18541407288910833
108,Face Masks,boscia,Luminizing Black Mask,$34.00,3.9049,3450.0,1734.25,0.42817200000000005,blackheads,0.48473008414663205
109,Face Masks,boscia,Luminizing Black Mask,$34.00,3.9049,3450.0,1734.25,0.42817200000000005,peel,0.5442436804207471
110,Face Masks,Origins,Clear Improvement® Active Charcoal Mask to Clear Pores,$4.0,4.3336,2825.0,1414.5,0.522641,charcoal,0.463410090886754
111,Face Masks,Origins,Clear Improvement® Active Charcoal Mask to Clear Pores,$4.0,4.3336,2825.0,1414.5,0.522641,origins,0.20678710774220155
112,Face Masks,Origins,Clear Improvement® Active Charcoal Mask to Clear Pores,$4.0,4.3336,2825.0,1414.5,0.522641,masks,0.3412137869923041
113,Face Masks,Origins,Clear Improvement® Active Charcoal Mask to Clear Pores,$4.0,4.3336,2825.0,1414.5,0.522641,blackheads,0.5764268465694582
114,Face Masks,Origins,Clear Improvement® Active Charcoal Mask to Clear Pores,$4.0,4.3336,2825.0,1414.5,0.522641,cleared,0.14084487888436745
115,Face Masks,GLAMGLOW,YOUTHMUD™ Tinglexfoliate Treatment,$22.0,4.0597,1938.0,975.5,0.404093,masks,0.3293329256970707
116,Face Masks,GLAMGLOW,YOUTHMUD™ Tinglexfoliate Treatment,$22.0,4.0597,1938.0,975.5,0.404093,tingle,0.37117152187361385
117,Face Masks,GLAMGLOW,YOUTHMUD™ Tinglexfoliate Treatment,$22.0,4.0597,1938.0,975.5,0.404093,mud,0.2888508868597199
118,Face Masks,GLAMGLOW,YOUTHMUD™ Tinglexfoliate Treatment,$22.0,4.0597,1938.0,975.5,0.404093,tingling,0.3107702330425535
119,Face Masks,GLAMGLOW,YOUTHMUD™ Tinglexfoliate Treatment,$22.0,4.0597,1938.0,975.5,0.404093,sensation,0.2564770975984092
120,Face Masks,KORRES,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,$48.00,4.2492,1483.0,754.5,0.55173,sleeping,0.21704442196788087
121,Face Masks,KORRES,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,$48.00,4.2492,1483.0,754.5,0.55173,korres,0.29049423081048414
122,Face Masks,KORRES,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,$48.00,4.2492,1483.0,754.5,0.55173,rose,0.6971463235564007
123,Face Masks,KORRES,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,$48.00,4.2492,1483.0,754.5,0.55173,wild,0.17664292628820755
124,Face Masks,KORRES,Wild Rose + Vitamin C Advanced Brightening Sleeping Facial,$48.00,4.2492,1483.0,754.5,0.55173,roses,0.2662828675233542
125,Lipstick,Kat Von D,Everlasting Liquid Lipstick,$20.00,4.305,10138.0,5075.0,0.509868,colors,0.19995545495731235
126,Lipstick,Kat Von D,Everlasting Liquid Lipstick,$20.00,4.305,10138.0,5075.0,0.509868,lipstick,0.5929350515304542
127,Lipstick,Kat Von D,Everlasting Liquid Lipstick,$20.00,4.305,10138.0,5075.0,0.509868,lipsticks,0.3892339433931376
128,Lipstick,Kat Von D,Everlasting Liquid Lipstick,$20.00,4.305,10138.0,5075.0,0.509868,lips,0.471412220615152
129,Lipstick,Kat Von D,Everlasting Liquid Lipstick,$20.00,4.305,10138.0,5075.0,0.509868,lip,0.21177461983010853
