,category,brand_name,name,price,rating,url,num_review
8087,Face Primer,KEVYN AUCOIN,The Celestial Skin Liquid Lighting,$52.00,4.2778,http://www.sephora.com/the-celestial-skin-liquid-lighting-P394342,55.0
8088,Face Primer,Lancôme,Visionnaire 1-Minute Blur,$57.00,3.844,http://www.sephora.com/visionnaire-1-minute-blur-P385023,109.0
8089,Face Primer,Clarins,Beauty Flash Balm,$48.00,4.3156,http://www.sephora.com/beauty-flash-balm-P95044,244.0
8090,Face Primer,Yves Saint Laurent,Instant Moisture Glow,$40.00,4.1111,http://www.sephora.com/instant-moisture-glow-P406814,18.0
8091,Face Primer,COVER FX,Calming Primer,$38.00,3.6944,http://www.sephora.com/calming-primer-P388019,108.0
8092,Face Primer,Benefit Cosmetics,Dr. Feelgood,$32.00,3.7188,http://www.sephora.com/dr-feelgood-P1277,1172.0
8093,Face Primer,NARS,Instant Line and Pore Perfector,$28.00,2.7536,http://www.sephora.com/instant-line-pore-perfector-P384867,69.0
8094,Face Primer,Giorgio Armani Beauty,Fluid Master Primer,$58.00,3.9444,http://www.sephora.com/fluid-master-primer-P393407,18.0
8095,Face Primer,Laura Mercier,Foundation Primer- Blemish-less,$38.00,3.3,http://www.sephora.com/foundation-primer-blemish-less-P408221,31.0
8096,Face Primer,Bobbi Brown,Broad Spectrum SPF 50 Protective Face Base,$43.00,4.1875,http://www.sephora.com/broad-spectrum-spf-50-protective-face-base-P391400,16.0
8097,Face Primer,Bobbi Brown,Skin Smoothing Pore Perfector,$40.00,3.7907,http://www.sephora.com/skin-smoothing-pore-perfector-P393446,44.0
8098,Face Primer,Giorgio Armani Beauty,Light Master Primer,$58.00,4.1818,http://www.sephora.com/light-master-primer-P393604,11.0
8099,Face Primer,Smashbox,Glow & Go Set,$39.00,0.0,http://www.sephora.com/glow-go-set-P415967,1.0
8100,Face Primer,TOM FORD,Bronzing Primer,$74.00,4.4375,http://www.sephora.com/bronzing-primer-P407134,16.0
8101,Face Primer,Givenchy,Acti’mine Color Correcting Primer,$41.00,3.7857,http://www.sephora.com/acti-mine-color-correcting-primer-P405237,28.0
8102,Face Primer,Peter Thomas Roth,Pore Putty™ Pore And Wrinkle Reducer,$38.00,3.75,http://www.sephora.com/pore-putty-pore-wrinkle-reducer-P394548,40.0
8103,Face Primer,CLINIQUE,Redness Solutions Daily Protective Base SPF 15,$23.50,3.6852,http://www.sephora.com/redness-solutions-daily-protective-base-spf-15-P201441,272.0
8104,Face Primer,FARSÁLI,Unicorn Essence,$54.00,4.8333,http://www.sephora.com/unicorn-essence-P417141,26.0
8105,Face Primer,Cinema Secrets,Super Sealer Mattifying Setting Spray,$24.00,3.6444,http://www.sephora.com/super-sealer-mattifying-setting-spray-P402980,46.0
8106,Face Primer,Givenchy,Mister Smooth Primer,$41.00,4.119,http://www.sephora.com/mister-smooth-primer-P375169,43.0
8107,Face Primer,KEVYN AUCOIN,The Primed Skin Developer,$68.00,4.25,http://www.sephora.com/the-primed-skin-developer-P404813,4.0
8108,Face Primer,The Estée Edit,Radiance Activator Treat + Prep + Glow,$55.00,4.4406,http://www.sephora.com/radiance-activator-treat-prep-glow-P411020,749.0
8109,Face Primer,COVER FX,Blemish Treatment Primer,$22.00,3.6571,http://www.sephora.com/blemish-treatment-primer-P388018,37.0
8110,Face Primer,Benefit Cosmetics,Stay Flawless 15 - Hour Primer,$32.00,2.9757,http://www.sephora.com/stay-flawless-15-hour-primer-P379221,703.0
