category,brand_name,name,price,rating,url,num_review,score
Bath & Body,LAVANILA,The Healthy Deodorant,8,3.7761,http://www.sephora.com/the-healthy-deodorant-P237120,3893.0,3115.5
Bath & Body,L’Occitane,Hand Creams,12,4.545,http://www.sephora.com/hand-creams-P307907,1551.0,1242.4
Bath & Body,philosophy,"Amazing Grace Shampoo, Bath & Shower Gel",25,4.6498,http://www.sephora.com/amazing-grace-bath-shampoo-shower-gel-P4682,1342.0,1076.5000000000002
Bath & Body,philosophy,Amazing Grace Firming Body Emulsion,37,4.621,http://www.sephora.com/amazing-grace-firming-body-emulsion-P7411,1266.0,1016.9000000000001
Bath & Body,Josie Maran,Whipped Argan Oil Body Butter,12,4.5369,http://www.sephora.com/whipped-argan-oil-body-butter-P287700,1008.0,808.0000000000001
Foundation,bareMinerals,bareMinerals Original Foundation Broad Spectrum SPF 15,28,4.617,http://www.sephora.com/bareminerals-original-foundation-broad-spectrum-spf-15-P61003,18912.0,15132.800000000001
Foundation,Kat Von D,Lock-It Foundation,35,3.9931,http://www.sephora.com/lock-it-tattoo-foundation-P311138,8880.0,7107.8
Foundation,bareMinerals,bareMinerals Matte Foundation Broad Spectrum SPF 15,28,4.3849,http://www.sephora.com/bareminerals-matte-foundation-broad-spectrum-spf-15-P240604,7540.0,6035.2
Foundation,MAKE UP FOR EVER,Mat Velvet + Mattifying Foundation,39,4.2189,http://www.sephora.com/mat-velvet-matifying-foundation-P177117,6084.0,4871.5
Foundation,Urban Decay,Naked Skin Weightless Ultra Definition Liquid Makeup,40,4.232,http://www.sephora.com/naked-weightless-ultra-definition-liquid-makeup-P374830,5541.0,4437.2
Face Serums,Ole Henriksen,Truth Serum®,48,4.3042,http://www.sephora.com/truth-serum-P42343,3209.0,2572.4
Face Serums,Dr. Brandt Skincare,pores no more® pore refiner primer,22,4.3011,http://www.sephora.com/pores-no-more-pore-refiner-primer-P139005,2505.0,2006.6
Face Serums,CLINIQUE,Even Better Clinical Dark Spot Corrector,49,3.6668,http://www.sephora.com/even-better-clinical-dark-spot-corrector-P257535,2140.0,1717.2
Face Serums,Kate Somerville,EradiKate™ Acne Treatment,26,4.2958,http://www.sephora.com/eradikate-acne-treatment-P232903,2129.0,1706.2
Face Serums,GLAMGLOW,YOUTHMUD™ Tinglexfoliate Treatment,22,4.0597,http://www.sephora.com/youthmud-tinglexfoliate-treatment-P375741,1938.0,1553.0
Mascara,Benefit Cosmetics,They’re Real! Lengthening & Volumizing Mascara,12,4.1571,http://www.sephora.com/they-re-real-lengthening-volumizing-mascara-P289307,13048.0,10440.000000000002
Mascara,Too Faced,Better Than Sex Mascara,12,3.7654,http://www.sephora.com/better-than-sex-mascara-P381000,8809.0,7048.700000000001
Mascara,Buxom,Lash Mascara,20,4.3602,http://www.sephora.com/buxom-lash-mascara-P228204,8141.0,6515.2
Mascara,Benefit Cosmetics,BADgal Lash Mascara,10,4.0343,http://www.sephora.com/badgal-lash-mascara-P49014,6152.0,4923.0
Mascara,tarte,"Lights, Camera, Lashes™ 4-in-1 Mascara",21,4.2331,http://www.sephora.com/lights-camera-lashes-P111902,4980.0,3986.5
Lip Balms & Treatments,Fresh,Sugar Lip Treatment Sunscreen SPF 15,24,4.4949,http://www.sephora.com/sugar-lip-treatment-spf-15-P57002,7997.0,6400.400000000001
Lip Balms & Treatments,Rosebud Perfume Co.,Rosebud Salve,6,4.6915,http://www.sephora.com/rosebud-salve-P42204,4514.0,3612.2000000000003
Lip Balms & Treatments,KORRES,Lip Butter,12,4.4502,http://www.sephora.com/lip-butter-P199109,4107.0,3287.2000000000003
Lip Balms & Treatments,Dior,Dior Addict Lip Glow,33,4.3781,http://www.sephora.com/dior-addict-lip-glow-P236816,3740.0,2995.7
Lip Balms & Treatments,Bite Beauty,Agave Lip Mask,26,4.4234,http://www.sephora.com/agave-lip-mask-P384629,2845.0,2279.0
